Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
KELT-3,KELT-3|BD+41 2024|TYC 2996-683-1|2MASS J09543439+4023170|GSC 02996-00683|SAO 43097|PPM 51568,1.282,,,1.482,,,,,,,,0.047,,,6304,,,F2,9.82,0.03,0.03,KELT-3.xml
KELT-4A,KELT-4A|BD+26 2091|HIP 51260|2MASS J10281500+2534236|TYC 1973-954-1|WDS 10283+2534|CCDM J10283+2534A,1.201,0.061,0.067,1.610,0.068,0.078,,,,,,-0.116,0.069,0.065,6206,75,75,F,9.98,0.03,0.03,KELT-4.xml
KELT-4B,KELT-4B,,,,,,,,,,,,,,,,,,,,,,KELT-4.xml
KELT-4C,KELT-4C,,,,,,,,,,,,,,,,,,,,,,KELT-4.xml
KELT-6,KELT-6|TYC 2532-556-1|BD+31 2447|2MASS J13035564+3038241,1.126,0.058,0.058,1.529,0.137,0.143,4.90,0.46,0.66,,,-0.27,0.06,0.06,6272,61,61,F8,10.337,0.054,0.054,KELT-6.xml
KELT-7,KELT-7|HD 33643|BD+33 977|HIP 24323|PPM 70046|TYC 2393-852-1|2MASS J05131092+331954,1.535,0.054,0.066,1.732,0.045,0.043,1.3,0.2,0.2,,,0.139,0.081,0.075,6789,49,50,F2,8.540,0.030,0.030,KELT-7.xml
KELT-8,KELT-8|HD 343246|2MASS J18531332+2407385|TYC 2109-49-1|WDS 18533+2407,1.211,0.066,0.078,1.67,0.12,0.14,,,,,,0.272,0.038,0.038,5754,55,54,G2V,10.833,0.054,0.054,KELT-8.xml
Kepler-10,Kepler-10|KOI-72|KIC 11904151,0.91,0.021,0.021,1.065,0.009,0.009,10.6,1.3,1.5,,,-0.15,0.04,0.04,5643,75,75,G,10.96,,,Kepler-10.xml
Kepler-100,Kepler-100|KOI-41|KIC 6521045,1.08,0.06,0.06,1.49,0.04,0.04,6.46,,,,,0.02,0.10,0.10,5825,75,75,,11.06,0.07,0.07,Kepler-100.xml
Kepler-1000,Kepler-1000,1.40,0.04,0.04,1.51,0.07,0.08,,,,,,0.35,0.05,0.06,6453.0,73.4,74.2,,,,,Kepler-1000.xml
Kepler-1001,Kepler-1001,0.90,0.04,0.04,0.88,0.06,0.09,,,,,,-0.03,0.17,0.14,5491.0,68.9,66.2,,,,,Kepler-1001.xml
Kepler-1002,Kepler-1002,1.22,0.05,0.05,1.57,0.04,0.05,,,,,,0.04,0.06,0.07,6144.0,61.1,47.2,,,,,Kepler-1002.xml
Kepler-1003,Kepler-1003,1.11,0.08,0.13,1.17,0.15,0.32,,,,,,0.01,0.17,0.14,6109.0,195.3,150.0,,,,,Kepler-1003.xml
Kepler-1004,Kepler-1004,1.11,0.12,0.18,3.39,0.22,0.28,,,,,,-0.04,0.03,0.02,4972.0,39.5,52.3,,,,,Kepler-1004.xml
Kepler-1005,Kepler-1005,1.00,0.04,0.04,1.06,0.10,0.15,,,,,,0.02,0.10,0.09,5782.0,67.9,68.0,,,,,Kepler-1005.xml
Kepler-1006,Kepler-1006,0.78,0.06,0.07,0.74,0.06,0.09,,,,,,-0.40,0.19,0.24,5328.0,112.8,180.8,,,,,Kepler-1006.xml
Kepler-1007,Kepler-1007,0.73,0.04,0.03,0.70,0.03,0.03,,,,,,0.03,0.16,0.15,4587.0,98.5,88.0,,,,,Kepler-1007.xml
Kepler-1008,Kepler-1008,0.81,0.03,0.03,0.78,0.03,0.03,,,,,,-0.01,0.10,0.10,5066.0,66.8,79.9,,,,,Kepler-1008.xml
Kepler-1009,Kepler-1009,0.59,0.03,0.02,0.57,0.02,0.02,,,,,,-0.12,0.11,0.09,4027.0,36.5,41.1,,,,,Kepler-1009.xml
Kepler-101,Kepler-101|KOI-46|KIC 10905239|2MASS J18530131+4821188,1.17,0.05,0.07,1.56,0.20,0.20,5.9,1.2,1.2,,,,,,5667,50,50,G3IV,13.80,,,Kepler-101.xml
Kepler-1010,Kepler-1010,0.86,0.04,0.04,0.82,0.04,0.05,,,,,,-0.01,0.16,0.15,5253.0,80.8,67.8,,,,,Kepler-1010.xml
Kepler-1011,Kepler-1011,0.91,0.04,0.04,0.88,0.05,0.09,,,,,,0.08,0.16,0.15,5416.0,130.9,95.5,,,,,Kepler-1011.xml
Kepler-1012,Kepler-1012,0.95,0.04,0.03,0.91,0.04,0.05,,,,,,0.05,0.10,0.11,5556.0,67.5,77.9,,,,,Kepler-1012.xml
Kepler-1013,Kepler-1013,0.81,0.04,0.04,0.76,0.03,0.03,,,,,,0.04,0.16,0.15,4954.0,81.9,77.3,,,,,Kepler-1013.xml
Kepler-1014,Kepler-1014,0.88,0.05,0.04,0.84,0.05,0.07,,,,,,-0.06,0.15,0.15,5388.0,66.4,68.9,,,,,Kepler-1014.xml
Kepler-1015,Kepler-1015,1.49,0.15,0.22,1.81,0.34,0.67,,,,,,0.06,0.15,0.13,6769.0,197.1,136.4,,,,,Kepler-1015.xml
Kepler-1016,Kepler-1016,0.99,0.07,0.08,1.00,0.10,0.17,,,,,,-0.03,0.18,0.14,5821.0,169.9,177.4,,,,,Kepler-1016.xml
Kepler-1017,Kepler-1017,0.93,0.04,0.04,0.87,0.03,0.03,,,,,,0.04,0.10,0.10,5473.0,81.0,93.2,,,,,Kepler-1017.xml
Kepler-1018,Kepler-1018,0.91,0.06,0.04,0.88,0.06,0.10,,,,,,-0.05,0.18,0.15,5518.0,57.6,61.2,,,,,Kepler-1018.xml
Kepler-1019,Kepler-1019,0.70,0.05,0.03,0.67,0.04,0.02,,,,,,0.01,0.18,0.17,4433.0,45.1,43.7,,,,,Kepler-1019.xml
Kepler-102,Kepler-102|KOI-82|KIC 10187017,0.80,0.06,0.06,0.74,0.02,0.02,1.41,,,,,0.08,0.07,0.07,4903,74,74,,12.07,0.19,0.19,Kepler-102.xml
Kepler-1020,Kepler-1020,0.87,0.03,0.03,0.80,0.02,0.02,,,,,,0.00,0.10,0.10,5227.0,60.6,66.7,,,,,Kepler-1020.xml
Kepler-1021,Kepler-1021,0.89,0.05,0.05,0.86,0.06,0.09,,,,,,-0.05,0.17,0.15,5431.0,144.0,143.1,,,,,Kepler-1021.xml
Kepler-1022,Kepler-1022,0.71,0.04,0.03,0.68,0.03,0.02,,,,,,0.06,0.17,0.16,4445.0,51.8,49.5,,,,,Kepler-1022.xml
Kepler-1023,Kepler-1023,0.93,0.04,0.04,0.89,0.05,0.10,,,,,,0.05,0.16,0.15,5494.0,98.7,75.3,,,,,Kepler-1023.xml
Kepler-1024,Kepler-1024,0.81,0.05,0.04,0.78,0.05,0.04,,,,,,-0.10,0.18,0.14,5143.0,76.4,126.7,,,,,Kepler-1024.xml
Kepler-1025,Kepler-1025,1.09,0.07,0.08,1.13,0.12,0.23,,,,,,-0.03,0.18,0.14,6089.0,95.5,102.4,,,,,Kepler-1025.xml
Kepler-1026,Kepler-1026,0.79,0.04,0.04,0.75,0.04,0.03,,,,,,-0.02,0.17,0.15,4948.0,89.4,85.8,,,,,Kepler-1026.xml
Kepler-1027,Kepler-1027,0.91,0.02,0.03,0.82,0.02,0.02,,,,,,-0.06,0.09,0.11,5436.0,58.5,66.8,,,,,Kepler-1027.xml
Kepler-1028,Kepler-1028,0.90,0.06,0.05,0.87,0.07,0.10,,,,,,-0.09,0.20,0.17,5522.0,78.2,102.7,,,,,Kepler-1028.xml
Kepler-1029,Kepler-1029,0.82,0.04,0.04,0.77,0.04,0.04,,,,,,0.01,0.17,0.16,5030.0,91.8,68.4,,,,,Kepler-1029.xml
Kepler-103,Kepler-103|KOI-108|KIC 4914423,1.09,0.07,0.07,1.44,0.04,0.04,5.70,,,,,0.07,0.11,0.11,5845,88,88,,11.88,0.16,0.16,Kepler-103.xml
Kepler-1030,Kepler-1030,0.80,0.04,0.04,0.76,0.04,0.04,,,,,,-0.01,0.16,0.15,4983.0,85.0,78.4,,,,,Kepler-1030.xml
Kepler-1031,Kepler-1031,1.09,0.07,0.10,1.12,0.13,0.27,,,,,,0.03,0.17,0.14,6011.0,133.3,125.9,,,,,Kepler-1031.xml
Kepler-1032,Kepler-1032,0.77,0.03,0.03,0.71,0.02,0.02,,,,,,0.16,0.21,0.10,4647.0,84.4,57.1,,,,,Kepler-1032.xml
Kepler-1033,Kepler-1033,0.94,0.04,0.04,0.92,0.06,0.15,,,,,,0.06,0.16,0.15,5547.0,66.5,59.8,,,,,Kepler-1033.xml
Kepler-1034,Kepler-1034,0.83,0.04,0.04,0.80,0.05,0.05,,,,,,-0.06,0.17,0.15,5198.0,86.2,102.4,,,,,Kepler-1034.xml
Kepler-1035,Kepler-1035,0.98,0.06,0.06,0.97,0.09,0.23,,,,,,-0.03,0.18,0.14,5763.0,121.2,114.3,,,,,Kepler-1035.xml
Kepler-1036,Kepler-1036,0.95,0.04,0.03,0.89,0.03,0.04,,,,,,0.04,0.10,0.10,5533.0,69.6,83.3,,,,,Kepler-1036.xml
Kepler-1037,Kepler-1037,0.82,0.04,0.04,0.78,0.04,0.04,,,,,,-0.03,0.16,0.14,5105.0,70.7,97.0,,,,,Kepler-1037.xml
Kepler-1038,Kepler-1038,0.87,0.06,0.07,0.83,0.06,0.09,,,,,,-0.04,0.18,0.16,5335.0,212.9,253.3,,,,,Kepler-1038.xml
Kepler-1039,Kepler-1039,0.79,0.04,0.05,0.74,0.04,0.04,,,,,,0.01,0.16,0.15,4870.0,173.3,194.2,,,,,Kepler-1039.xml
Kepler-104,Kepler-104|KOI-111|KIC 6678383,0.8070,0.0390,0.0390,1.349,.223,0.223,,,,,,,,,5711,4,74,,,,,Kepler-104.xml
Kepler-1040,Kepler-1040,0.98,0.04,0.04,0.96,0.05,0.06,,,,,,0.01,0.10,0.09,5694.0,65.7,78.2,,,,,Kepler-1040.xml
Kepler-1041,Kepler-1041,1.06,0.07,0.07,1.08,0.11,0.23,,,,,,0.01,0.17,0.14,5957.0,105.2,107.7,,,,,Kepler-1041.xml
Kepler-1042,Kepler-1042,0.75,0.05,0.04,0.72,0.05,0.03,,,,,,-0.10,0.20,0.15,4815.0,79.6,86.9,,,,,Kepler-1042.xml
Kepler-1043,Kepler-1043,0.92,0.06,0.05,0.90,0.07,0.10,,,,,,-0.11,0.19,0.15,5629.0,67.6,73.2,,,,,Kepler-1043.xml
Kepler-1044,Kepler-1044,1.08,0.07,0.08,1.11,0.12,0.25,,,,,,0.04,0.16,0.14,5985.0,124.5,112.3,,,,,Kepler-1044.xml
Kepler-1045,Kepler-1045,0.86,0.05,0.04,0.82,0.05,0.06,,,,,,-0.03,0.16,0.15,5301.0,59.8,56.0,,,,,Kepler-1045.xml
Kepler-1046,Kepler-1046,1.04,0.04,0.04,1.04,0.06,0.07,,,,,,0.00,0.09,0.09,5913.0,81.9,72.8,,,,,Kepler-1046.xml
Kepler-1047,Kepler-1047,1.08,0.04,0.05,1.13,0.09,0.14,,,,,,0.29,0.06,0.07,5754.0,75.6,83.6,,,,,Kepler-1047.xml
Kepler-1048,Kepler-1048,0.75,0.04,0.03,0.70,0.03,0.03,,,,,,0.01,0.16,0.15,4651.0,62.4,59.4,,,,,Kepler-1048.xml
Kepler-1049,Kepler-1049,0.51,0.03,0.03,0.49,0.03,0.03,,,,,,-0.33,0.08,0.08,3864.0,41.5,42.0,,,,,Kepler-1049.xml
Kepler-105,Kepler-105|KOI-115|KIC 9579641,1.1800,0.0930,0.0930,1.160,0.245,0.245,,,,,,,,,5873,100,100,,,,,Kepler-105.xml
Kepler-1050,Kepler-1050,1.09,0.07,0.08,1.13,0.12,0.29,,,,,,0.03,0.17,0.14,6010.0,99.7,90.7,,,,,Kepler-1050.xml
Kepler-1051,Kepler-1051,1.43,0.16,0.22,1.73,0.34,0.62,,,,,,0.04,0.17,0.13,6675.0,222.6,270.6,,,,,Kepler-1051.xml
Kepler-1052,Kepler-1052,1.03,0.07,0.08,1.03,0.11,0.19,,,,,,0.00,0.17,0.15,5888.0,173.3,160.5,,,,,Kepler-1052.xml
Kepler-1053,Kepler-1053,0.74,0.04,0.03,0.69,0.03,0.03,,,,,,0.10,0.17,0.16,4529.0,98.2,81.7,,,,,Kepler-1053.xml
Kepler-1054,Kepler-1054,1.22,0.10,0.18,1.34,0.20,0.58,,,,,,0.09,0.14,0.14,6209.0,147.0,106.6,,,,,Kepler-1054.xml
Kepler-1055,Kepler-1055,0.98,0.04,0.03,0.94,0.04,0.04,,,,,,-0.02,0.10,0.10,5723.0,61.7,76.3,,,,,Kepler-1055.xml
Kepler-1056,Kepler-1056,1.12,0.12,0.20,1.20,0.21,0.51,,,,,,0.02,0.18,0.13,6127.0,285.3,199.8,,,,,Kepler-1056.xml
Kepler-1057,Kepler-1057,1.07,0.11,0.15,1.10,0.17,0.36,,,,,,0.01,0.18,0.13,5987.0,297.0,293.8,,,,,Kepler-1057.xml
Kepler-1058,Kepler-1058,0.73,0.05,0.04,0.69,0.04,0.03,,,,,,-0.06,0.17,0.18,4644.0,112.7,89.8,,,,,Kepler-1058.xml
Kepler-1059,Kepler-1059,0.75,0.06,0.04,0.72,0.06,0.04,,,,,,-0.15,0.24,0.16,4906.0,62.3,81.5,,,,,Kepler-1059.xml
Kepler-106,Kepler-106|KOI-116|KIC 8395660,1.00,0.06,0.06,1.04,0.17,0.17,4.83,,,,,-0.12,0.11,0.11,5858,114,114,,12.98,,,Kepler-106.xml
Kepler-1060,Kepler-1060,0.99,0.07,0.08,0.99,0.11,0.19,,,,,,-0.03,0.19,0.15,5797.0,198.6,181.0,,,,,Kepler-1060.xml
Kepler-1061,Kepler-1061,1.09,0.04,0.04,1.07,0.05,0.06,,,,,,-0.03,0.10,0.10,6067.0,59.0,71.8,,,,,Kepler-1061.xml
Kepler-1062,Kepler-1062,0.75,0.04,0.03,0.70,0.03,0.02,,,,,,0.11,0.19,0.14,4597.0,73.2,61.9,,,,,Kepler-1062.xml
Kepler-1063,Kepler-1063,1.09,0.07,0.11,1.14,0.14,0.30,,,,,,0.09,0.13,0.15,5945.0,155.4,188.8,,,,,Kepler-1063.xml
Kepler-1064,Kepler-1064,0.85,0.03,0.03,0.79,0.02,0.02,,,,,,0.00,0.10,0.10,5153.0,60.0,80.6,,,,,Kepler-1064.xml
Kepler-1065,Kepler-1065,0.94,0.06,0.07,0.93,0.09,0.16,,,,,,-0.01,0.18,0.14,5635.0,202.4,166.0,,,,,Kepler-1065.xml
Kepler-1066,Kepler-1066,0.98,0.07,0.11,0.98,0.11,0.20,,,,,,-0.03,0.18,0.14,5762.0,209.5,287.4,,,,,Kepler-1066.xml
Kepler-1067,Kepler-1067,0.95,0.04,0.04,0.93,0.06,0.16,,,,,,0.03,0.17,0.13,5592.0,65.9,63.0,,,,,Kepler-1067.xml
Kepler-1068,Kepler-1068,1.01,0.07,0.07,1.01,0.10,0.25,,,,,,0.03,0.18,0.14,5806.0,170.0,123.7,,,,,Kepler-1068.xml
Kepler-1069,Kepler-1069,0.99,0.05,0.05,0.98,0.08,0.17,,,,,,0.04,0.16,0.14,5722.0,104.9,88.8,,,,,Kepler-1069.xml
Kepler-107,Kepler-107|KOI-117|KIC 10875245,1.1830,0.0390,0.0390,1.411,0.047,0.047,,,,,,0.27,0.10,0.10,5851,75,75,,,,,Kepler-107.xml
Kepler-1070,Kepler-1070,1.21,0.10,0.20,1.32,0.19,0.61,,,,,,0.03,0.17,0.13,6261.0,114.4,114.1,,,,,Kepler-1070.xml
Kepler-1071,Kepler-1071,0.86,0.04,0.03,0.81,0.03,0.03,,,,,,0.01,0.11,0.11,5215.0,83.3,78.4,,,,,Kepler-1071.xml
Kepler-1072,Kepler-1072,1.20,0.09,0.19,1.32,0.20,0.60,,,,,,0.07,0.13,0.13,6199.0,123.2,102.8,,,,,Kepler-1072.xml
Kepler-1073,Kepler-1073,1.00,0.07,0.10,1.00,0.11,0.21,,,,,,0.00,0.17,0.14,5792.0,186.2,252.9,,,,,Kepler-1073.xml
Kepler-1074,Kepler-1074,0.60,0.03,0.02,0.57,0.02,0.02,,,,,,-0.06,0.09,0.08,4002.0,33.6,33.5,,,,,Kepler-1074.xml
Kepler-1075,Kepler-1075,0.56,0.03,0.03,0.54,0.03,0.02,,,,,,-0.17,0.10,0.11,3959.0,38.7,39.3,,,,,Kepler-1075.xml
Kepler-1076,Kepler-1076,0.79,0.04,0.03,0.74,0.02,0.01,,,,,,-0.01,0.11,0.10,4868.0,45.6,38.2,,,,,Kepler-1076.xml
Kepler-1077,Kepler-1077,1.02,0.05,0.06,1.02,0.09,0.23,,,,,,0.03,0.16,0.13,5816.0,113.5,99.9,,,,,Kepler-1077.xml
Kepler-1078,Kepler-1078,0.94,0.05,0.05,0.92,0.07,0.12,,,,,,-0.01,0.19,0.14,5612.0,123.5,100.2,,,,,Kepler-1078.xml
Kepler-1079,Kepler-1079,1.08,0.06,0.12,1.36,0.23,0.27,,,,,,0.21,0.13,0.10,5758.0,84.6,90.6,,,,,Kepler-1079.xml
Kepler-108,Kepler-108|KOI-119|KIC 9471974,0.8900,0.1700,0.1700,2.192,0.121,0.121,,,,,,,,,5854,2,92,,,,,Kepler-108.xml
Kepler-1080,Kepler-1080,1.10,0.06,0.10,1.16,0.14,0.40,,,,,,0.09,0.14,0.15,5956.0,88.0,70.4,,,,,Kepler-1080.xml
Kepler-1081,Kepler-1081,0.88,0.04,0.04,0.84,0.05,0.07,,,,,,0.01,0.15,0.14,5345.0,84.9,67.9,,,,,Kepler-1081.xml
Kepler-1082,Kepler-1082,1.03,0.06,0.06,1.14,0.13,0.18,,,,,,-0.06,0.12,0.10,5923.0,64.3,80.7,,,,,Kepler-1082.xml
Kepler-1083,Kepler-1083,0.81,0.04,0.04,0.77,0.04,0.03,,,,,,-0.02,0.17,0.15,5049.0,46.4,45.5,,,,,Kepler-1083.xml
Kepler-1084,Kepler-1084,1.12,0.06,0.07,1.28,0.17,0.27,,,,,,-0.02,0.11,0.08,6113.0,75.6,63.7,,,,,Kepler-1084.xml
Kepler-1085,Kepler-1085,1.11,0.06,0.09,1.14,0.11,0.31,,,,,,0.08,0.16,0.14,6000.0,89.9,83.8,,,,,Kepler-1085.xml
Kepler-1086,Kepler-1086,0.70,0.03,0.02,0.66,0.02,0.01,,,,,,0.06,0.13,0.09,4350.0,34.1,46.0,,,,,Kepler-1086.xml
Kepler-1087,Kepler-1087,0.96,0.06,0.07,0.94,0.07,0.26,,,,,,0.01,0.26,0.15,5589.0,191.4,122.9,,,,,Kepler-1087.xml
Kepler-1088,Kepler-1088,1.08,0.03,0.03,1.08,0.06,0.08,,,,,,0.05,0.08,0.08,5975.0,58.2,64.4,,,,,Kepler-1088.xml
Kepler-1089,Kepler-1089,0.52,0.03,0.03,0.49,0.03,0.03,,,,,,-0.09,0.08,0.09,3753.0,32.5,32.4,,,,,Kepler-1089.xml
Kepler-109,Kepler-109|KOI-123|KIC 5094751|TYC 3138-1820-1|2MASS J19213425+4017055,1.04,0.06,0.06,1.32,0.04,0.04,5.73,,,,,-0.08,0.10,0.10,5952,75,75,,12.93,,,Kepler-109.xml
Kepler-1090,Kepler-1090,0.86,0.05,0.05,0.82,0.05,0.07,,,,,,-0.04,0.17,0.15,5321.0,145.4,147.8,,,,,Kepler-1090.xml
Kepler-1091,Kepler-1091,1.01,0.08,0.12,1.03,0.13,0.25,,,,,,0.00,0.18,0.13,5851.0,232.4,286.3,,,,,Kepler-1091.xml
Kepler-1092,Kepler-1092,0.99,0.07,0.09,1.00,0.10,0.18,,,,,,-0.09,0.20,0.16,5862.0,156.1,195.0,,,,,Kepler-1092.xml
Kepler-1093,Kepler-1093,1.13,0.09,0.14,1.20,0.15,0.38,,,,,,-0.01,0.20,0.13,6166.0,138.4,147.6,,,,,Kepler-1093.xml
Kepler-1094,Kepler-1094,1.14,0.09,0.16,1.21,0.17,0.46,,,,,,0.06,0.15,0.14,6112.0,187.7,127.4,,,,,Kepler-1094.xml
Kepler-1095,Kepler-1095,0.94,0.07,0.07,0.92,0.09,0.14,,,,,,-0.09,0.20,0.16,5658.0,136.1,206.3,,,,,Kepler-1095.xml
Kepler-1096,Kepler-1096,0.66,0.03,0.03,0.63,0.03,0.02,,,,,,-0.10,0.10,0.13,4306.0,39.8,53.1,,,,,Kepler-1096.xml
Kepler-1097,Kepler-1097,0.82,0.06,0.04,0.79,0.05,0.05,,,,,,-0.11,0.18,0.17,5211.0,86.8,77.1,,,,,Kepler-1097.xml
Kepler-1098,Kepler-1098,0.99,0.07,0.10,0.99,0.11,0.18,,,,,,-0.02,0.17,0.14,5794.0,216.4,204.8,,,,,Kepler-1098.xml
Kepler-1099,Kepler-1099,1.01,0.06,0.05,1.00,0.08,0.14,,,,,,-0.02,0.18,0.14,5837.0,82.6,92.9,,,,,Kepler-1099.xml
Kepler-11,Kepler-11|KOI-157|KIC 6541920,0.961,0.024,0.027,1.053,0.015,0.013,8.1,1.3,1.2,,,,,,5663,67,55,G,13.7,,,Kepler-11.xml
Kepler-110,Kepler-110|KOI-124|KIC 11086270,1.0670,0.0640,0.0640,1.149,.228,0.228,,,,,,,,,5960,53,153,,,,,Kepler-110.xml
Kepler-1100,Kepler-1100,1.21,0.11,0.20,1.34,0.22,0.63,,,,,,0.05,0.14,0.14,6247.0,164.4,128.6,,,,,Kepler-1100.xml
Kepler-1101,Kepler-1101,0.94,0.06,0.06,0.91,0.07,0.13,,,,,,-0.04,0.18,0.15,5614.0,168.7,130.3,,,,,Kepler-1101.xml
Kepler-1102,Kepler-1102,0.96,0.07,0.05,0.94,0.07,0.14,,,,,,-0.08,0.20,0.16,5724.0,71.3,76.5,,,,,Kepler-1102.xml
Kepler-1103,Kepler-1103,1.11,0.08,0.10,1.15,0.13,0.31,,,,,,-0.01,0.18,0.14,6092.0,106.6,106.1,,,,,Kepler-1103.xml
Kepler-1104,Kepler-1104,1.30,0.05,0.06,1.41,0.10,0.15,,,,,,0.13,0.10,0.10,6417.0,84.1,90.5,,,,,Kepler-1104.xml
Kepler-1105,Kepler-1105,0.71,0.03,0.02,0.68,0.02,0.01,,,,,,0.28,0.11,0.08,4299.0,47.8,41.8,,,,,Kepler-1105.xml
Kepler-1106,Kepler-1106,1.11,0.09,0.14,1.17,0.16,0.34,,,,,,0.00,0.17,0.12,6104.0,185.3,152.4,,,,,Kepler-1106.xml
Kepler-1107,Kepler-1107,0.86,0.05,0.04,0.82,0.04,0.06,,,,,,0.01,0.16,0.15,5268.0,126.8,105.0,,,,,Kepler-1107.xml
Kepler-1108,Kepler-1108,0.88,0.06,0.05,0.84,0.06,0.07,,,,,,-0.09,0.18,0.16,5406.0,105.1,149.3,,,,,Kepler-1108.xml
Kepler-1109,Kepler-1109,1.05,0.07,0.07,1.06,0.11,0.21,,,,,,0.04,0.15,0.14,5893.0,163.5,111.4,,,,,Kepler-1109.xml
Kepler-111,Kepler-111|KOI-139|KIC 8559644,1.1710,0.0300,0.0300,1.157,.143,0.143,,,,,,,,,5952,4,74,,,,,Kepler-111.xml
Kepler-1110,Kepler-1110,0.73,0.05,0.05,0.70,0.05,0.04,,,,,,-0.16,0.19,0.18,4781.0,77.5,88.0,,,,,Kepler-1110.xml
Kepler-1111,Kepler-1111,1.10,0.09,0.13,1.15,0.15,0.31,,,,,,0.02,0.17,0.14,6077.0,199.7,143.8,,,,,Kepler-1111.xml
Kepler-1112,Kepler-1112,1.34,0.13,0.21,1.54,0.26,0.65,,,,,,0.04,0.15,0.12,6496.0,147.3,147.0,,,,,Kepler-1112.xml
Kepler-1113,Kepler-1113,1.12,0.07,0.13,1.17,0.14,0.47,,,,,,0.18,0.16,0.15,5931.0,109.5,80.3,,,,,Kepler-1113.xml
Kepler-1114,Kepler-1114,0.87,0.04,0.04,0.83,0.03,0.04,,,,,,-0.08,0.12,0.11,5374.0,77.7,87.5,,,,,Kepler-1114.xml
Kepler-1115,Kepler-1115,1.60,0.10,0.10,1.73,0.20,0.29,,,,,,-0.51,0.12,0.11,8480.0,217.9,296.0,,,,,Kepler-1115.xml
Kepler-1116,Kepler-1116,0.95,0.06,0.05,0.93,0.08,0.20,,,,,,0.01,0.18,0.14,5641.0,133.1,91.9,,,,,Kepler-1116.xml
Kepler-1117,Kepler-1117,0.95,0.05,0.04,0.93,0.06,0.13,,,,,,0.03,0.15,0.14,5612.0,101.6,83.0,,,,,Kepler-1117.xml
Kepler-1118,Kepler-1118,0.96,0.08,0.11,0.97,0.11,0.17,,,,,,0.00,0.17,0.14,5688.0,268.9,303.8,,,,,Kepler-1118.xml
Kepler-1119,Kepler-1119,1.11,0.11,0.14,1.17,0.18,0.38,,,,,,0.03,0.17,0.13,6083.0,249.8,177.4,,,,,Kepler-1119.xml
Kepler-112,Kepler-112|KOI-150|KIC 7626506,0.9460,0.0940,0.0940,0.841,.203,0.203,,,,,,,,,5544,48,148,,,,,Kepler-112.xml
Kepler-1120,Kepler-1120,0.78,0.04,0.04,0.74,0.04,0.03,,,,,,-0.04,0.16,0.15,4904.0,67.8,70.0,,,,,Kepler-1120.xml
Kepler-1121,Kepler-1121,1.29,0.09,0.13,1.59,0.29,0.40,,,,,,0.12,0.09,0.09,6231.0,72.9,90.2,,,,,Kepler-1121.xml
Kepler-1122,Kepler-1122,0.92,0.05,0.04,0.89,0.06,0.11,,,,,,-0.03,0.18,0.14,5544.0,72.6,73.2,,,,,Kepler-1122.xml
Kepler-1123,Kepler-1123,0.93,0.04,0.04,0.90,0.06,0.13,,,,,,0.05,0.15,0.14,5500.0,90.5,75.4,,,,,Kepler-1123.xml
Kepler-1124,Kepler-1124,0.35,0.02,0.02,0.34,0.02,0.02,,,,,,-0.59,0.08,0.07,3658.0,26.6,33.4,,,,,Kepler-1124.xml
Kepler-1125,Kepler-1125,0.95,0.07,0.08,0.94,0.09,0.15,,,,,,-0.09,0.19,0.16,5683.0,131.5,241.4,,,,,Kepler-1125.xml
Kepler-1126,Kepler-1126,0.92,0.06,0.05,0.93,0.07,0.11,,,,,,-0.26,0.15,0.14,5798.0,55.4,61.2,,,,,Kepler-1126.xml
Kepler-1127,Kepler-1127,0.97,0.05,0.04,0.95,0.07,0.15,,,,,,0.04,0.15,0.13,5664.0,137.3,89.8,,,,,Kepler-1127.xml
Kepler-1128,Kepler-1128,0.94,0.05,0.04,0.91,0.06,0.13,,,,,,0.04,0.16,0.14,5543.0,145.0,95.3,,,,,Kepler-1128.xml
Kepler-1129,Kepler-1129,1.00,0.06,0.06,1.00,0.10,0.17,,,,,,-0.04,0.19,0.15,5831.0,114.3,135.0,,,,,Kepler-1129.xml
Kepler-113,Kepler-113|KOI-153|KIC 12252424,0.75,0.06,0.06,0.69,0.02,0.02,6.89,,,,,0.05,0.07,0.07,4725,74,74,,,,,Kepler-113.xml
Kepler-1130,Kepler-1130,0.90,0.02,0.02,0.81,0.01,0.01,,,,,,-0.06,0.08,0.09,5403.0,51.4,53.0,,,,,Kepler-1130.xml
Kepler-1131,Kepler-1131,1.03,0.06,0.06,1.04,0.10,0.23,,,,,,0.05,0.17,0.15,5851.0,114.9,83.2,,,,,Kepler-1131.xml
Kepler-1132,Kepler-1132,0.87,0.05,0.04,0.83,0.05,0.06,,,,,,-0.01,0.17,0.16,5298.0,56.8,54.2,,,,,Kepler-1132.xml
Kepler-1133,Kepler-1133,0.93,0.06,0.05,0.90,0.06,0.10,,,,,,-0.02,0.16,0.14,5569.0,118.1,157.9,,,,,Kepler-1133.xml
